Team,Flag,Group
Egypt,http://img.fifa.com/images/flags/4/egy.png,A
Russia,http://img.fifa.com/images/flags/4/rus.png,A
Saudi Arabia,http://img.fifa.com/images/flags/4/ksa.png,A
Uruguay,http://img.fifa.com/images/flags/4/uru.png,A
Iran,http://img.fifa.com/images/flags/4/irn.png,B
Morocco,http://img.fifa.com/images/flags/4/mar.png,B
Portugal,http://img.fifa.com/images/flags/4/por.png,B
Spain,http://img.fifa.com/images/flags/4/esp.png,B
Australia,http://img.fifa.com/images/flags/4/aus.png,C
Denmark,http://img.fifa.com/images/flags/4/den.png,C
France,http://img.fifa.com/images/flags/4/fra.png,C
Peru,http://img.fifa.com/images/flags/4/per.png,C
Argentina,http://img.fifa.com/images/flags/4/arg.png,D
Croatia,http://img.fifa.com/images/flags/4/cro.png,D
Iceland,http://img.fifa.com/images/flags/4/isl.png,D
Nigeria,http://img.fifa.com/images/flags/4/nga.png,D
Brazil,http://img.fifa.com/images/flags/4/bra.png,E
Costa Rica,http://img.fifa.com/images/flags/4/crc.png,E
Serbia,http://img.fifa.com/images/flags/4/srb.png,E
Switzerland,http://img.fifa.com/images/flags/4/sui.png,E
Germany,http://img.fifa.com/images/flags/4/ger.png,F
Korea Republic,http://img.fifa.com/images/flags/4/kor.png,F
Mexico,http://img.fifa.com/images/flags/4/mex.png,F
Sweden,http://img.fifa.com/images/flags/4/swe.png,F
Belgium,http://img.fifa.com/images/flags/4/bel.png,G
England,http://img.fifa.com/images/flags/4/eng.png,G
Panama,http://img.fifa.com/images/flags/4/pan.png,G
Tunisia,http://img.fifa.com/images/flags/4/tun.png,G
Colombia,http://img.fifa.com/images/flags/4/col.png,H
Japan,http://img.fifa.com/images/flags/4/jpn.png,H
Poland,http://img.fifa.com/images/flags/4/pol.png,H
Senegal,http://img.fifa.com/images/flags/4/sen.png,H
