date,home_team,away_team,home_score,away_score,tournament
1/8/1928,Portugal,Spain,2,2,Friendly
3/11/1928,Switzerland,France,4,3,Friendly
4/1/1928,Portugal,Argentina,0,0,Friendly
4/15/1928,France,Belgium,2,3,Friendly
4/15/1928,Switzerland,Germany,2,3,Friendly
4/29/1928,France,Portugal,1,1,Friendly
5/17/1928,France,England,1,5,Friendly
5/19/1928,Belgium,England,1,3,Friendly
7/1/1928,Poland,Sweden,2,1,Friendly
8/30/1928,Argentina,Uruguay,1,0,Copa Newton
9/16/1928,Germany,Denmark,2,1,Friendly
9/21/1928,Uruguay,Argentina,2,2,Copa Lipton
9/30/1928,Sweden,Germany,2,0,Friendly
10/7/1928,Denmark,Sweden,3,1,Nordic Championship
2/10/1929,Germany,Switzerland,7,1,Friendly
3/17/1929,Spain,Portugal,5,0,Friendly
3/24/1929,France,Portugal,2,0,Friendly
4/14/1929,Spain,France,8,1,Friendly
5/9/1929,France,England,1,4,Friendly
5/11/1929,Belgium,England,1,5,Friendly
5/15/1929,Spain,England,4,3,Friendly
5/26/1929,Belgium,France,4,1,Friendly
6/16/1929,Argentina,Uruguay,2,0,Friendly
6/16/1929,Sweden,Denmark,3,2,Nordic Championship
6/16/1929,Uruguay,Argentina,1,1,Friendly
6/23/1929,Germany,Sweden,3,0,Friendly
9/20/1929,Uruguay,Argentina,2,1,Copa Newton
9/28/1929,Argentina,Uruguay,0,0,Copa Lipton
11/3/1929,Argentina,Peru,3,0,Copa America
11/11/1929,Peru,Uruguay,1,4,Copa America
11/17/1929,Argentina,Uruguay,2,0,Copa America
2/23/1930,Portugal,France,2,0,Friendly
3/23/1930,France,Switzerland,3,3,Friendly
4/13/1930,France,Belgium,1,6,Friendly
5/4/1930,Switzerland,Germany,0,5,Friendly
5/10/1930,Germany,England,3,3,Friendly
5/25/1930,Argentina,Uruguay,1,1,Copa Newton
5/25/1930,Belgium,France,1,2,Friendly
6/8/1930,Belgium,Portugal,2,1,Friendly
6/15/1930,Sweden,Switzerland,1,0,Friendly
