"Date","away_team","home_team","home_score","away_score","tournament"
1928-01-08,"Spain","Portugal",2,2,"Friendly"
1928-03-11,"France","Switzerland",4,3,"Friendly"
1928-04-01,"Argentina","Portugal",0,0,"Friendly"
1928-04-15,"Belgium","France",2,3,"Friendly"
1928-04-15,"Germany","Switzerland",2,3,"Friendly"
1928-04-29,"Portugal","France",1,1,"Friendly"
1928-05-17,"England","France",1,5,"Friendly"
1928-05-19,"England","Belgium",1,3,"Friendly"
1928-07-01,"Sweden","Poland",2,1,"Friendly"
1928-08-30,"Uruguay","Argentina",1,0,"Competitive"
1928-09-16,"Denmark","Germany",2,1,"Friendly"
1928-09-21,"Argentina","Uruguay",2,2,"Competitive"
1928-09-30,"Germany","Sweden",2,0,"Friendly"
1928-10-07,"Sweden","Denmark",3,1,"Competitive"
1929-02-10,"Switzerland","Germany",7,1,"Friendly"
1929-03-17,"Portugal","Spain",5,0,"Friendly"
1929-03-24,"Portugal","France",2,0,"Friendly"
1929-04-14,"France","Spain",8,1,"Friendly"
1929-05-09,"England","France",1,4,"Friendly"
1929-05-11,"England","Belgium",1,5,"Friendly"
1929-05-15,"England","Spain",4,3,"Friendly"
1929-05-26,"France","Belgium",4,1,"Friendly"
1929-06-16,"Argentina","Uruguay",1,1,"Friendly"
1929-06-16,"Denmark","Sweden",3,2,"Competitive"
1929-06-16,"Uruguay","Argentina",2,0,"Friendly"
1929-06-23,"Sweden","Germany",3,0,"Friendly"
1929-09-20,"Argentina","Uruguay",2,1,"Competitive"
1929-09-28,"Uruguay","Argentina",0,0,"Competitive"
1929-11-03,"Peru","Argentina",3,0,"Competitive"
1929-11-11,"Uruguay","Peru",1,4,"Competitive"
1929-11-17,"Uruguay","Argentina",2,0,"Competitive"
1930-02-23,"France","Portugal",2,0,"Friendly"
1930-03-23,"Switzerland","France",3,3,"Friendly"
1930-04-13,"Belgium","France",1,6,"Friendly"
1930-05-04,"Germany","Switzerland",0,5,"Friendly"
1930-05-10,"England","Germany",3,3,"Friendly"
1930-05-25,"France","Belgium",1,2,"Friendly"
1930-05-25,"Uruguay","Argentina",1,1,"Competitive"
1930-06-08,"Portugal","Belgium",2,1,"Friendly"
1930-06-15,"Switzerland","Sweden",1,0,"Friendly"
1930-06-22,"Sweden","Denmark",6,1,"Competitive"
1930-07-13,"Mexico","France",4,1,"Competitive"
1930-07-15,"France","Argentina",1,0,"Competitive"
1930-07-18,"Peru","Uruguay",1,0,"Competitive"
1930-07-19,"Mexico","Argentina",6,3,"Competitive"
1930-07-30,"Argentina","Uruguay",4,2,"Competitive"
1930-08-01,"France","Brazil",3,2,"Friendly"
1930-09-07,"Germany","Denmark",6,3,"Friendly"
1930-09-28,"Poland","Sweden",0,3,"Friendly"
1930-09-28,"Sweden","Belgium",2,2,"Friendly"
1930-11-30,"Spain","Portugal",0,1,"Friendly"
1930-12-07,"Belgium","France",2,2,"Friendly"
1931-03-15,"Germany","France",1,0,"Friendly"
1931-05-14,"England","France",5,2,"Friendly"
1931-05-16,"England","Belgium",1,4,"Friendly"
1931-05-31,"Belgium","Portugal",3,2,"Friendly"
1931-06-17,"Germany","Sweden",0,0,"Friendly"
1931-06-28,"Denmark","Sweden",3,1,"Competitive"
1931-09-06,"Uruguay","Brazil",2,0,"Competitive"
1931-09-27,"Denmark","Germany",4,2,"Friendly"
1931-10-11,"Poland","Belgium",2,1,"Friendly"
1931-12-06,"Switzerland","Belgium",2,1,"Friendly"
1931-12-09,"Spain","England",7,1,"Friendly"
1932-03-06,"Switzerland","Germany",2,0,"Friendly"
1932-03-20,"France","Switzerland",3,3,"Friendly"
1932-05-01,"France","Belgium",5,2,"Friendly"
1932-05-15,"Uruguay","Argentina",2,0,"Friendly"
1932-05-18,"Argentina","Uruguay",1,0,"Friendly"
1932-06-05,"Belgium","Denmark",3,4,"Friendly"
1932-06-12,"Belgium","Sweden",3,1,"Friendly"
1932-06-19,"Sweden","Denmark",3,1,"Competitive"
1932-07-10,"Sweden","Poland",2,0,"Friendly"
1932-09-25,"Sweden","Germany",4,3,"Friendly"
1932-11-06,"Sweden","Switzerland",2,1,"Friendly"
1932-12-04,"Brazil","Uruguay",1,2,"Competitive"
1933-01-21,"Argentina","Uruguay",2,1,"Friendly"
1933-02-05,"Uruguay","Argentina",4,1,"Friendly"
1933-03-12,"Belgium","Switzerland",3,3,"Friendly"
1933-03-19,"France","Germany",3,3,"Friendly"
1933-03-26,"Belgium","France",3,0,"Friendly"
1933-04-02,"Portugal","Spain",3,0,"Friendly"
1933-04-23,"Spain","France",1,0,"Friendly"
1933-05-20,"England","Switzerland",0,4,"Friendly"
1933-06-04,"Belgium","Poland",0,1,"Friendly"
1933-06-18,"Denmark","Sweden",2,3,"Competitive"
1933-10-22,"Belgium","Germany",8,1,"Friendly"
1933-11-19,"Germany","Switzerland",0,2,"Friendly"
1933-11-26,"Denmark","Belgium",2,2,"Friendly"
1933-12-03,"Poland","Germany",1,0,"Friendly"
1933-12-06,"France","England",4,1,"Friendly"
1933-12-14,"Argentina","Uruguay",0,1,"Friendly"
1934-01-21,"France","Belgium",2,3,"Friendly"
1934-03-11,"Portugal","Spain",9,0,"Competitive"
1934-03-11,"Switzerland","France",0,1,"Friendly"
1934-03-18,"Spain","Portugal",1,2,"Competitive"
1934-05-21,"Poland","Denmark",4,2,"Friendly"
1934-05-23,"Poland","Sweden",4,2,"Friendly"
1934-05-27,"Germany","Belgium",2,5,"Competitive"
1934-05-27,"Spain","Brazil",1,3,"Competitive"
1934-05-27,"Sweden","Argentina",2,3,"Competitive"
1934-05-31,"Sweden","Germany",2,1,"Competitive"
1934-06-17,"Sweden","Denmark",3,5,"Competitive"
1934-07-18,"Argentina","Uruguay",2,2,"Friendly"
1934-08-15,"Uruguay","Argentina",1,0,"Friendly"
1934-09-09,"Germany","Poland",2,5,"Friendly"
1934-10-07,"Germany","Denmark",2,5,"Friendly"
1935-01-13,"Uruguay","Peru",0,1,"Competitive"
1935-01-20,"Argentina","Peru",1,4,"Competitive"
1935-01-24,"France","Spain",2,0,"Friendly"
1935-01-27,"Switzerland","Germany",4,0,"Friendly"
1935-01-27,"Uruguay","Argentina",0,3,"Competitive"
1935-03-17,"Germany","France",1,3,"Friendly"
1935-04-14,"France","Belgium",1,1,"Friendly"
1935-04-28,"Germany","Belgium",1,6,"Friendly"
1935-05-05,"Spain","Portugal",3,3,"Friendly"
1935-05-12,"Spain","Germany",1,2,"Friendly"
1935-05-30,"Switzerland","Belgium",2,2,"Friendly"
1935-06-16,"Denmark","Sweden",3,1,"Competitive"
